id,name,lastname,email,gender,age,phone,document,documentNumber,isClient,district,qualification,isIndependent,occupation,company,sector,annualSalary,hasDebt,totalDebtAmount,hasBlacklist,creditScore,creditLine,requestedAmount,term,quota,creditType,agreedAmount,interestRate,authorizer,store,timestamp
1,Philomena,Hewertson,phewertson0@sbwire.com,Female,30,976 566 6688,PASSPORT,48560068,true,Pueblo libre,INVESTIGADO,false,Chemical Engineer,Rhyzio,,465129,false,null,false,0.84,14708,204800,58,3531,VEHICULAR,122547,0.44,phewertson0,Rímac,2023-07-30 23:46:27
2,Alric,Calvard,,Male,42,573 848 1384,PASSPORT,95794026,true,Puente piedra,APROBADO,true,Speech Pathologist,null,null,830779,false,null,true,0.67,40903,151326,51,2967,VEHICULAR,128141,0.3,acalvard1,Carabayllo,2023-07-30 23:46:27
3,Marlo,MacMenamie,mmacmenamie2@census.gov,Male,49,867 954 1862,CE,28843597,false,Pueblo libre,APROBADO,false,Cost Accountant,Tanoodle,Finance,279033,false,null,true,0.54,54758,40642,20,2032,VEHICULAR,223737,0.31,mmacmenamie2,San isidro,2023-07-30 23:46:27
4,Gardy,MacKniely,gmackniely3@usgs.gov,Male,64,426 195 1963,DNI,13576001,false,,RECHAZADO,true,Director of Sales,null,null,647240,false,null,false,0.53,13538,186156,46,4046,VEHICULAR,288248,0.38,,Comas,2023-07-30 23:46:27
5,Ruperto,Salvadori,rsalvadori4@plala.or.jp,Male,40,297 757 6249,DNI,80153974,true,Villa Maria del Triunfo,INVESTIGADO,true,Automation Specialist III,null,null,470101,true,13433,true,0.5,38657,17599,18,977,VEHICULAR,278330,0.2,rsalvadori4,Breña,2023-07-30 23:46:27
6,Amalle,Massinger,amassinger5@newyorker.com,Female,43,445 925 5805,DNI,45291357,true,San Juan de Lurigancho,INVESTIGADO,true,Analog Circuit Design manager,null,null,161169,false,null,true,0.56,86481,94314,37,2549,HIPOTECARIO,128515,0.48,amassinger5,La molina,2023-07-30 23:46:27
7,Lyman,Cuxson,lcuxson6@businessweek.com,Male,35,,PASSPORT,74474506,true,San Martin de Porres,RECHAZADO,false,Environmental Tech,Bubblemix,,323950,false,null,true,0.64,84484,250605,14,17900,HIPOTECARIO,220666,0.51,lcuxson6,San Miguel,2023-07-30 23:46:27
8,Katey,Lichtfoth,klichtfoth7@cyberchimps.com,Female,62,177 560 8028,DNI,55146680,true,Chaclacayo,APROBADO,false,Sales Representative,Browsetype,Finance,48953,false,null,true,0.82,35687,160062,19,8424,ESTUDIOS,84819,0.55,klichtfoth7,San Luis,2023-07-30 23:46:27
9,Benton,Chaundy,bchaundy8@epa.gov,Male,32,737 564 3681,CE,36583100,false,San Martin de Porres,APROBADO,false,Help Desk Operator,Gigabox,Finance,375737,false,null,true,0.41,12881,180475,27,6684,COMERCIAL,21635,0.46,bchaundy8,Miraflores,2023-07-30 23:46:27
10,Adolphus,Kingescot,akingescot9@ihg.com,Male,34,397 462 7309,CE,62269281,true,Breña,RECHAZADO,true,Junior Executive,null,null,192026,true,62911,true,0.97,36829,165869,20,8293,PERSONAL,171225,0.58,akingescot9,Punta hermosa,2023-07-30 23:46:27
